,school,district,county,enroll_12,num_takers_12,enroll_11,num_takers_11,benchmark_12,percent_12,benchmark_11,percent_11
1663,Audeo Charter,San Diego Unified,San Diego,172,6,60,6,7.0,7.0,7.0,7.0
1664,East Union High,Manteca Unified,San Joaquin,392,113,429,111,45.0,39.82,60.0,54.05
1665,Happy Camp High,Siskiyou Union High,Siskiyou,22,5,10,3,7.0,7.0,7.0,7.0
1666,Dublin High,Dublin Unified,Alameda,622,271,721,434,212.0,78.23,400.0,92.17
1667,Urban Corps of San Diego County Charter,Mono County Office of Education,Mono,285,0,0,0,0.0,0.0,0.0,0.0
1668,Delta Charter Online No.2,New Jerusalem Elementary,San Joaquin,0,0,39,1,0.0,0.0,7.0,7.0
1669,California Connections Academy @ Ripon,Ripon Unified,San Joaquin,206,22,183,17,11.0,50.0,13.0,76.47
1670,Edward C. Merlo Institute of Environmental Studies,Stockton Unified,San Joaquin,36,8,49,1,7.0,7.0,7.0,7.0
1671,Berkeley High,Berkeley Unified,Alameda,715,292,779,363,218.0,74.66,292.0,80.44
1672,Hanford West High,Hanford Joint Union High,Kings,301,66,291,55,24.0,36.36,25.0,45.45
1673,Granada Hills Charter High,Los Angeles Unified,Los Angeles,1120,531,1218,522,377.0,71.0,439.0,84.1
1674,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,585,323,601,541,116.0,35.91,171.0,31.61
1675,Los Angeles Senior High,Los Angeles Unified,Los Angeles,242,229,287,232,42.0,18.34,23.0,9.91
1676,PUC Community Charter Middle and PUC Community Charter Early College High,Los Angeles Unified,Los Angeles,89,62,106,90,15.0,24.19,38.0,42.22
1677,SIATech Academy South,Acton-Agua Dulce Unified,Los Angeles,90,0,75,0,0.0,0.0,0.0,0.0
1678,American Canyon High,Napa Valley Unified,Napa,412,148,385,175,77.0,52.03,82.0,46.86
1679,Vintage High,Napa Valley Unified,Napa,396,155,431,221,70.0,45.16,104.0,47.06
1680,Saint Helena High,Saint Helena Unified,Napa,121,47,117,49,28.0,59.57,33.0,67.35
1681,Tustin Connect,Tustin Unified,Orange,17,1,32,1,7.0,7.0,7.0,7.0
1682,Tustin High,Tustin Unified,Orange,577,283,508,248,121.0,42.76,113.0,45.56
1683,Sweetwater High,Sweetwater Union High,San Diego,732,177,726,169,83.0,46.89,93.0,55.03
1684,Sylmar Biotech Health Academy,Los Angeles Unified,Los Angeles,57,30,63,60,2.0,6.67,2.0,3.33
1685,Pinnacle Academy Charter - Independent Study,South Monterey County Joint Union High,Monterey,38,0,22,0,0.0,0.0,0.0,0.0
1686,Hector G. Godinez,Santa Ana Unified,Orange,627,582,569,368,179.0,30.76,162.0,44.02
1687,Century High,Santa Ana Unified,Orange,417,368,358,109,42.0,11.41,30.0,27.52
1688,Futures High,Twin Rivers Unified,Sacramento,71,15,69,15,4.0,26.67,11.0,73.33
1689,Sunset High (Continuation),San Dieguito Union High,San Diego,63,3,25,1,7.0,7.0,7.0,7.0
1690,Christopher High,Gilroy Unified,Santa Clara,397,154,383,110,75.0,48.7,74.0,67.27
1691,Woodlake High,Woodlake Unified,Tulare,151,22,143,56,6.0,27.27,21.0,37.5
1692,Elk Creek Junior-Senior High,Stony Creek Joint Unified,Glenn,3,1,3,0,7.0,7.0,0.0,0.0
1693,Magnolia Science Academy 3,Los Angeles County Office of Education,Los Angeles,50,32,52,36,11.0,34.38,9.0,25.0
1694,Valley High,Elk Grove Unified,Sacramento,369,184,359,296,43.0,23.37,63.0,21.28
