,school,district,county,enroll_12,num_takers_12,enroll_11,num_takers_11,benchmark_12,percent_12,benchmark_11,percent_11
498,Long Valley Charter - Susanville,Ravendale-Termo Elementary,Lassen,22,3,20,2,7.0,7.0,7.0,7.0
499,Long Valley Charter,Ravendale-Termo Elementary,Lassen,7,2,17,0,7.0,7.0,0.0,0.0
500,Canyon Oaks High,Monrovia Unified,Los Angeles,62,3,43,0,7.0,7.0,0.0,0.0
501,San Jose High,San Jose Unified,Santa Clara,234,35,273,241,11.0,31.43,35.0,14.52
502,City Arts and Tech High,San Francisco Unified,San Francisco,67,41,81,48,6.0,14.63,6.0,12.5
503,Wells (Ida B.) High,San Francisco Unified,San Francisco,85,1,41,0,7.0,7.0,0.0,0.0
504,Everest Public High,Sequoia Union High,San Mateo,86,42,94,96,5.0,11.9,27.0,28.13
505,East Palo Alto Academy,Sequoia Union High,San Mateo,65,33,92,35,4.0,12.12,6.0,17.14
506,Menlo-Atherton High,Sequoia Union High,San Mateo,644,194,607,317,130.0,67.01,264.0,83.28
507,Joseph A. Gregori High,Modesto City High,Stanislaus,539,193,563,174,88.0,45.6,111.0,63.79
508,Moorpark High,Moorpark Unified,Ventura,457,121,480,134,85.0,70.25,115.0,85.82
509,Contreras Learning Center-Academic Leadership Community,Los Angeles Unified,Los Angeles,84,63,105,84,3.0,4.76,17.0,20.24
510,Santa Monica High,Santa Monica-Malibu Unified,Los Angeles,715,287,661,263,195.0,67.94,213.0,80.99
511,Willits Charter,Willits Unified,Mendocino,6,1,9,4,7.0,7.0,7.0,7.0
512,Elite Academic Academy - Mountain Empire,Mountain Empire Unified,San Diego,11,0,17,0,0.0,0.0,0.0,0.0
513,Watsonville High,Pajaro Valley Unified,Santa Cruz,455,134,490,146,32.0,23.88,58.0,39.73
514,Yuba City High,Yuba City Unified,Sutter,394,77,417,86,40.0,51.95,53.0,61.63
515,Ralph J. Bunche High,Oakland Unified,Alameda,76,2,45,0,7.0,7.0,0.0,0.0
516,Bright Star Secondary Charter Academy,Los Angeles Unified,Los Angeles,117,62,134,86,21.0,33.87,21.0,24.42
517,Tomales High,Shoreline Unified,Marin,37,27,37,14,6.0,22.22,7.0,7.0
518,Kearny SCT,San Diego Unified,San Diego,77,33,79,34,15.0,45.45,16.0,47.06
519,Lompoc High,Lompoc Unified,Santa Barbara,342,19,386,299,11.0,57.89,58.0,19.4
520,eCademy Charter at Crane,Turlock Unified,Stanislaus,28,0,27,0,0.0,0.0,0.0,0.0
521,Fusion Charter,Turlock Unified,Stanislaus,31,0,33,0,0.0,0.0,0.0,0.0
522,California Prep Sutter 8-12,Meridian Elementary,Sutter,40,7,28,3,7.0,7.0,7.0,7.0
523,Glendale High,Glendale Unified,Los Angeles,547,177,558,140,108.0,61.02,99.0,70.71
524,Verdugo Academy,Glendale Unified,Los Angeles,24,4,27,3,7.0,7.0,7.0,7.0
525,Ednovate - East College Prep,Los Angeles Unified,Los Angeles,79,5,115,4,7.0,7.0,7.0,7.0
526,Centennial High,Compton Unified,Los Angeles,214,46,235,182,3.0,6.52,17.0,9.34
527,OCSA,Santa Ana Unified,Orange,379,152,421,197,123.0,80.92,177.0,89.85
528,Santa Ana High,Santa Ana Unified,Orange,648,551,758,208,58.0,10.53,56.0,26.92
529,Desert Learning Academy,Palm Springs Unified,Riverside,37,5,40,10,7.0,7.0,7.0,7.0
530,Clayton Valley Charter High,Contra Costa County Office of Education,Contra Costa,482,218,607,286,155.0,71.1,223.0,77.97
531,Parlier High,Parlier Unified,Fresno,201,51,221,66,11.0,21.57,12.0,18.18
532,Ambassador Phillip V. Sanchez II Public Charter,Raisin City Elementary,Fresno,19,0,57,0,0.0,0.0,0.0,0.0
533,Sanger High,Sanger Unified,Fresno,734,320,712,215,110.0,34.38,116.0,53.95
534,Henry David Thoreau Continuation,Los Angeles Unified,Los Angeles,19,1,40,2,7.0,7.0,7.0,7.0
535,Gardena Senior High,Los Angeles Unified,Los Angeles,279,84,313,299,11.0,13.1,35.0,11.71
536,David Starr Jordan Senior High,Los Angeles Unified,Los Angeles,87,27,102,96,5.0,18.52,4.0,4.17
537,SCALE Leadership Academy,Acton-Agua Dulce Unified,Los Angeles,12,6,14,4,7.0,7.0,7.0,7.0
538,San Jacinto Valley Academy,San Jacinto Unified,Riverside,66,65,71,71,16.0,24.62,18.0,25.35
539,West Shores High,Coachella Valley Unified,Riverside,63,31,81,35,4.0,12.9,11.0,31.43
540,Barstow High,Barstow Unified,San Bernardino,319,44,316,53,19.0,43.18,31.0,58.49
541,Piedmont High,Piedmont City Unified,Alameda,205,64,184,95,57.0,89.06,94.0,98.95
542,South Hills High,Covina-Valley Unified,Los Angeles,401,381,390,365,113.0,29.66,125.0,34.25
543,Coast High,Huntington Beach Union High,Orange,139,10,57,3,7.0,7.0,7.0,7.0
544,Cajon High,San Bernardino City Unified,San Bernardino,631,232,661,608,69.0,29.74,152.0,25.0
545,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),Los Angeles Unified,Los Angeles,108,47,87,91,9.0,19.15,17.0,18.68
546,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,Los Angeles Unified,Los Angeles,62,23,85,76,1.0,4.35,3.0,3.95
547,Diego Rivera Learning Complex Green Design STEAM Academy,Los Angeles Unified,Los Angeles,103,23,101,91,7.0,30.43,11.0,12.09
548,Performing Arts Community at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,125,37,125,103,3.0,8.11,13.0,12.62
549,Newport Harbor High,Newport-Mesa Unified,Orange,548,127,573,140,82.0,64.57,103.0,73.57
550,Mesa Verde High,San Juan Unified,Sacramento,211,62,212,95,20.0,32.26,32.0,33.68
551,Mira Loma High,San Juan Unified,Sacramento,454,150,467,150,133.0,88.67,137.0,91.33
552,La Jolla High,San Diego Unified,San Diego,339,139,343,167,108.0,77.7,138.0,82.63
553,Amador Valley High,Pleasanton Unified,Alameda,654,259,623,414,217.0,83.78,387.0,93.48
554,Robert F. Kennedy High,Delano Joint Union High,Kern,304,113,264,114,34.0,30.09,42.0,36.84
555,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,Los Angeles Unified,Los Angeles,144,64,169,159,9.0,14.06,32.0,20.13
556,Evergreen High,Yosemite Unified,Madera,14,0,16,1,0.0,0.0,7.0,7.0
557,North Tahoe High,Tahoe-Truckee Unified,Placer,103,39,107,56,28.0,71.79,39.0,69.64
558,Cosumnes Oaks High,Elk Grove Unified,Sacramento,580,285,596,278,191.0,67.02,235.0,84.53
559,Inglewood High,Inglewood Unified,Los Angeles,176,76,206,27,3.0,3.95,1.0,3.7
560,Elite Academic Academy - Lucerne,Lucerne Valley Unified,San Bernardino,15,0,29,0,0.0,0.0,0.0,0.0
561,Osprey Learning Center,Southern Humboldt Joint Unified,Humboldt,1,0,4,1,0.0,0.0,7.0,7.0
562,Pacific Boulevard,Los Angeles Unified,Los Angeles,18,0,2,0,0.0,0.0,0.0,0.0
563,Victory High,Rocklin Unified,Placer,51,1,24,0,7.0,7.0,0.0,0.0
564,Elk Grove Charter,Elk Grove Unified,Sacramento,79,2,75,3,7.0,7.0,7.0,7.0
565,Yucca Valley High,Morongo Unified,San Bernardino,314,73,307,40,34.0,46.58,24.0,60.0
566,S.F. International High,San Francisco Unified,San Francisco,100,47,94,5,3.0,6.38,7.0,7.0
567,Centinela Valley Independent Study,Centinela Valley Union High,Los Angeles,18,0,8,0,0.0,0.0,0.0,0.0
568,Lawndale High,Centinela Valley Union High,Los Angeles,553,220,560,201,46.0,20.91,58.0,28.86
569,Park West High (Continuation),Pomona Unified,Los Angeles,160,0,53,2,0.0,0.0,7.0,7.0
570,Public Safety Academy,San Bernardino City Unified,San Bernardino,43,8,62,55,7.0,7.0,5.0,9.09
571,Orange Cove High,Kings Canyon Joint Unified,Fresno,122,46,142,65,7.0,15.22,5.0,7.69
572,California Virtual Academy at Kings,Armona Union Elementary,Kings,35,3,46,0,7.0,7.0,0.0,0.0
573,Mission Continuation,Los Angeles Unified,Los Angeles,24,0,24,6,0.0,0.0,7.0,7.0
574,Carson Senior High,Los Angeles Unified,Los Angeles,334,92,336,299,20.0,21.74,54.0,18.06
575,Walnut High,Walnut Valley Unified,Los Angeles,666,387,591,315,303.0,78.29,292.0,92.7
576,El Toro High,Saddleback Valley Unified,Orange,559,189,600,230,120.0,63.49,190.0,82.61
577,Ramona High,Riverside Unified,Riverside,543,224,515,183,70.0,31.25,84.0,45.9
578,Anzar High,Aromas - San Juan Unified,San Benito,75,21,85,13,10.0,47.62,7.0,7.0
579,Otay Ranch Senior High,Sweetwater Union High,San Diego,626,328,578,227,182.0,55.49,150.0,66.08
580,Irvington High,Fremont Unified,Alameda,497,179,552,349,152.0,84.92,338.0,96.85
581,Ednovate - Legacy College Prep.,Orange County Department of Education,Orange,0,0,115,5,0.0,0.0,7.0,7.0
582,Los Osos High,Chaffey Joint Union High,San Bernardino,763,367,736,390,234.0,63.76,310.0,79.49
583,Sage Creek High,Carlsbad Unified,San Diego,307,149,285,167,117.0,78.52,142.0,85.03
584,Henry M. Gunn High,Palo Alto Unified,Santa Clara,501,183,484,291,170.0,92.9,285.0,97.94
585,San Ramon Valley High,San Ramon Valley Unified,Contra Costa,502,155,525,245,122.0,78.71,223.0,91.02
586,Desert Oasis High (Continuation),Central Union High,Imperial,42,0,44,2,0.0,0.0,7.0,7.0
587,Freedom Academy of Imperial Valley,Holtville Unified,Imperial,5,1,1,0,7.0,7.0,0.0,0.0
588,Mayfair High,Bellflower Unified,Los Angeles,452,161,480,129,81.0,50.31,83.0,64.34
589,Helen Bernstein High,Los Angeles Unified,Los Angeles,124,43,114,94,4.0,9.3,11.0,11.7
590,APEX Academy,Los Angeles Unified,Los Angeles,82,46,64,40,1.0,2.17,1.0,2.5
591,Los Angeles High School of the Arts,Los Angeles Unified,Los Angeles,108,48,109,89,10.0,20.83,8.0,8.99
592,Lee V. Pollard High,Corona-Norco Unified,Riverside,339,6,197,1,7.0,7.0,7.0,7.0
593,Riverside Preparatory,Oro Grande,San Bernardino,117,46,158,41,13.0,28.26,11.0,26.83
594,Mojave River Academy - National Trails,Oro Grande,San Bernardino,92,0,104,0,0.0,0.0,0.0,0.0
595,Campo High (Continuation),Mountain Empire Unified,San Diego,3,1,9,1,7.0,7.0,7.0,7.0
596,Mountain Empire High,Mountain Empire Unified,San Diego,84,27,100,38,10.0,37.04,14.0,36.84
597,Firebaugh High,Firebaugh-Las Deltas Unified,Fresno,167,84,155,53,5.0,5.95,10.0,18.87
598,Beach High-Intensive Learning Program,Long Beach Unified,Los Angeles,43,0,46,24,0.0,0.0,0.0,0.0
599,Alhambra High,Alhambra Unified,Los Angeles,648,268,573,279,139.0,51.87,166.0,59.5
600,John Muir Charter,Nevada County Office of Education,Nevada,604,0,135,0,0.0,0.0,0.0,0.0
601,University Prep,Dehesa Elementary,San Diego,20,0,28,0,0.0,0.0,0.0,0.0
602,Mission Hills High,San Marcos Unified,San Diego,584,223,642,299,107.0,47.98,184.0,61.54
603,Oceana High,Jefferson Union High,San Mateo,136,105,154,39,62.0,59.05,31.0,79.49
604,Wilson Alternative,Santa Clara Unified,Santa Clara,140,1,46,1,7.0,7.0,7.0,7.0
605,Marce Becerra Academy,Healdsburg Unified,Sonoma,17,0,7,1,0.0,0.0,7.0,7.0
606,Aspire Lionel Wilson College Preparatory Academy,Oakland Unified,Alameda,53,16,70,2,5.0,31.25,7.0,7.0
607,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,101,95,99,99,28.0,29.47,49.0,49.49
608,Contreras Learning Center-Los Angeles School of Global Studies,Los Angeles Unified,Los Angeles,70,37,70,42,3.0,8.11,2.0,4.76
609,Marshall Fundamental,Pasadena Unified,Los Angeles,269,158,264,135,68.0,43.04,68.0,50.37
610,Norte Vista High,Alvord Unified,Riverside,483,125,498,461,34.0,27.2,64.0,13.88
611,Rio Vista High,River Delta Joint Unified,Sacramento,106,42,92,75,16.0,38.1,16.0,21.33
612,East Nicolaus High,East Nicolaus Joint Union High,Sutter,79,35,79,37,16.0,45.71,15.0,40.54
613,Ingenuity Charter,San Diego Unified,San Diego,81,5,50,0,7.0,7.0,0.0,0.0
614,Yreka High,Yreka Union High,Siskiyou,138,41,133,32,22.0,53.66,20.0,62.5
615,Butte Valley High,Butte Valley Unified,Siskiyou,18,0,18,4,0.0,0.0,7.0,7.0
616,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,84,61,92,73,8.0,13.11,10.0,13.7
617,Bullard High,Fresno Unified,Fresno,518,143,574,399,49.0,34.27,110.0,27.57
618,Independence High,Kern High,Kern,511,166,500,108,50.0,30.12,57.0,52.78
619,Bayside Community Day,Moreno Valley Unified,Riverside,98,33,37,0,0.0,0.0,0.0,0.0
620,Center High,Center Joint Unified,Sacramento,315,52,302,39,32.0,61.54,30.0,76.92
621,Health Careers Academy,Stockton Unified,San Joaquin,96,74,131,71,15.0,20.27,21.0,29.58
622,Orosi High,Cutler-Orosi Joint Unified,Tulare,237,122,267,113,17.0,13.93,17.0,15.04
623,Cloverdale High,Cloverdale Unified,Sonoma,70,21,95,23,2.0,9.52,13.0,56.52
624,Stockton Early College Academy,Stockton Unified,San Joaquin,99,89,107,61,56.0,62.92,44.0,72.13
625,Prospect High,Campbell Union High,Santa Clara,386,140,371,163,87.0,62.14,129.0,79.14
626,Accelerated Charter High,Tulare Joint Union High,Tulare,78,0,52,0,0.0,0.0,0.0,0.0
627,Canyon Crest Academy,San Dieguito Union High,San Diego,635,156,627,414,143.0,91.67,405.0,97.83
628,Pivot Online Charter - North Bay,Oak Grove Union Elementary,Sonoma,10,2,9,0,7.0,7.0,0.0,0.0
629,Summerville High,Summerville Union High,Tuolumne,84,24,98,32,15.0,62.5,20.0,62.5
630,Don Pedro High,Big Oak Flat-Groveland Unified,Tuolumne,18,6,16,5,7.0,7.0,7.0,7.0
631,Vista Real Charter High,Ventura County Office of Education,Ventura,130,1,303,0,7.0,7.0,0.0,0.0
632,Maria Carrillo High,Santa Rosa High,Sonoma,352,99,392,137,84.0,84.85,125.0,91.24
633,Ridgway High (Continuation),Santa Rosa High,Sonoma,218,0,65,1,0.0,0.0,7.0,7.0
634,Santa Rosa High,Santa Rosa High,Sonoma,458,90,497,134,61.0,67.78,114.0,85.07
635,Oscar De La Hoya Animo Charter High,Los Angeles Unified,Los Angeles,144,81,144,129,11.0,13.58,20.0,15.5
636,Norwalk High,Norwalk-La Mirada Unified,Los Angeles,453,430,498,443,77.0,17.91,91.0,20.54
637,John F. Kennedy High,Anaheim Union High,Orange,654,252,556,177,174.0,69.05,150.0,84.75
638,Summit High,Fontana Unified,San Bernardino,556,241,574,519,79.0,32.78,133.0,25.63
639,Middle College High,San Jose Unified,Santa Clara,28,0,15,0,0.0,0.0,0.0,0.0
640,Pacifica High,Oxnard Union High,Ventura,726,491,752,607,101.0,20.57,109.0,17.96
641,Pacific Collegiate Charter,Santa Cruz County Office of Education,Santa Cruz,90,48,89,63,42.0,87.5,61.0,96.83
642,San Lorenzo Valley High,San Lorenzo Valley Unified,Santa Cruz,139,40,200,81,23.0,57.5,57.0,70.37
643,Shasta Charter Academy,Shasta Union High,Shasta,73,6,73,3,7.0,7.0,7.0,7.0
644,Phoenix Charter Academy,Whitmore Union Elementary,Shasta,27,3,43,5,7.0,7.0,7.0,7.0
645,Frontier High,Kern High,Kern,576,192,575,205,118.0,61.46,138.0,67.32
646,Arvin High,Kern High,Kern,616,216,636,146,38.0,17.59,52.0,35.62
647,Rosemead High,El Monte Union High,Los Angeles,511,179,412,224,112.0,62.57,139.0,62.05
648,Ellen Ochoa Prep Academy,El Rancho Unified,Los Angeles,0,0,70,66,0.0,0.0,10.0,15.15
649,Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,126,53,114,113,15.0,28.3,26.0,23.01
650,Golden Valley High,William S. Hart Union High,Los Angeles,479,175,551,130,88.0,50.29,99.0,76.15
651,Learning Post High (Alternative),William S. Hart Union High,Los Angeles,71,9,71,8,7.0,7.0,7.0,7.0
652,El Dorado High,Placentia-Yorba Linda Unified,Orange,462,176,472,182,133.0,75.57,153.0,84.07
653,Valley View High,Moreno Valley Unified,Riverside,595,538,611,137,115.0,21.38,49.0,35.77
654,Moreno Valley Community Learning Center,Moreno Valley Unified,Riverside,3,1,3,0,7.0,7.0,0.0,0.0
655,Northcoast Preparatory and Performing Arts Academy,Humboldt County Office of Education,Humboldt,25,15,29,16,10.0,66.67,11.0,68.75
656,L.A. County High School for the Arts,Los Angeles County Office of Education,Los Angeles,128,72,136,71,35.0,48.61,53.0,74.65
657,Ivy Academia,Los Angeles Unified,Los Angeles,43,19,28,11,7.0,36.84,7.0,7.0
658,John H. Glenn High,Norwalk-La Mirada Unified,Los Angeles,314,279,302,273,31.0,11.11,40.0,14.65
659,Madera South High,Madera Unified,Madera,621,130,749,614,24.0,18.46,98.0,15.96
660,Polaris High (Alternative),Anaheim Union High,Orange,49,1,31,0,7.0,7.0,0.0,0.0
661,Foresthill High,Placer Union High,Placer,52,12,49,3,7.0,7.0,7.0,7.0
662,Placer High,Placer Union High,Placer,343,101,316,84,69.0,68.32,71.0,84.52
663,Vineyard Alternative,Livermore Valley Joint Unified,Alameda,49,5,36,0,7.0,7.0,0.0,0.0
664,Crossroads High (Alternative),Newark Unified,Alameda,17,0,13,0,0.0,0.0,0.0,0.0
665,Mt. Diablo High,Mt. Diablo Unified,Contra Costa,255,104,355,52,32.0,30.77,17.0,32.69
666,Franklin High,Elk Grove Unified,Sacramento,595,283,664,312,202.0,71.38,260.0,83.33
667,Henry J. Kaiser High,Fontana Unified,San Bernardino,516,227,472,411,63.0,27.75,93.0,22.63
668,Fallbrook High,Fallbrook Union High,San Diego,464,105,464,116,51.0,48.57,75.0,64.66
669,Mission High,San Francisco Unified,San Francisco,324,131,288,61,33.0,25.19,15.0,24.59
670,Monte Vista High,San Ramon Valley Unified,Contra Costa,597,243,612,323,200.0,82.3,290.0,89.78
671,Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,233,97,184,214,20.0,20.62,21.0,9.81
672,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382,98,387,189,9.0,9.18,14.0,7.41
673,Fremont Academy of Engineering and Design,Pomona Unified,Los Angeles,90,43,89,26,9.0,20.93,6.0,23.08
674,Sanhedrin Alternative,Willits Unified,Mendocino,14,0,26,0,0.0,0.0,0.0,0.0
675,Mojave River Academy - Silver Mountain,Oro Grande,San Bernardino,86,0,66,1,0.0,0.0,7.0,7.0
676,Coalinga High,Coalinga-Huron Unified,Fresno,236,59,264,64,15.0,25.42,23.0,35.94
677,Linda Esperanza Marquez High C School of Social Justice,Los Angeles Unified,Los Angeles,122,60,170,166,6.0,10.0,17.0,10.24
678,Surprise Valley High,Surprise Valley Joint Unified,Modoc,5,4,4,2,7.0,7.0,7.0,7.0
679,Insight @ San Joaquin,New Jerusalem Elementary,San Joaquin,113,0,93,0,0.0,0.0,0.0,0.0
680,Central High East Campus,Central Unified,Fresno,913,379,1026,358,94.0,24.8,106.0,29.61
681,Manual Arts Senior High,Los Angeles Unified,Los Angeles,377,208,353,302,17.0,8.17,21.0,6.95
682,Reseda Charter High,Los Angeles Unified,Los Angeles,349,294,326,278,45.0,15.31,60.0,21.58
683,Theodore Roosevelt Senior High,Los Angeles Unified,Los Angeles,306,116,302,269,11.0,9.48,12.0,4.46
684,NU Tech High,Nevada Joint Union High,Nevada,25,1,7,0,7.0,7.0,0.0,0.0
685,Creekside High,Irvine Unified,Orange,63,2,37,0,7.0,7.0,0.0,0.0
686,Valiant Academy of Southern California,Dehesa Elementary,San Diego,131,1,107,3,7.0,7.0,7.0,7.0
687,California Pacific Charter - San Diego,Warner Unified,San Diego,108,4,79,2,7.0,7.0,7.0,7.0
688,Terra Nova High,Jefferson Union High,San Mateo,208,171,226,68,90.0,52.63,56.0,82.35
689,Oakland Technical High,Oakland Unified,Alameda,492,186,502,249,114.0,61.29,187.0,75.1
690,School of Business and Tourism at Contreras Learning Complex,Los Angeles Unified,Los Angeles,104,86,104,114,16.0,18.6,11.0,9.65
691,Aveson Global Leadership Academy,Pasadena Unified,Los Angeles,49,24,55,11,6.0,25.0,7.0,7.0
692,La Sierra High,Alvord Unified,Riverside,418,99,401,339,40.0,40.4,78.0,23.01
693,The MET,Sacramento City Unified,Sacramento,60,15,72,58,3.0,20.0,20.0,34.48
694,Redlands eAcademy,Redlands Unified,San Bernardino,6,1,12,7,7.0,7.0,7.0,7.0
695,Wilmer Amina Carter High,Rialto Unified,San Bernardino,583,173,566,518,44.0,25.43,121.0,23.36
696,Eisenhower Senior High,Rialto Unified,San Bernardino,524,124,558,476,35.0,28.23,76.0,15.97
697,San Diego International Studies,San Diego Unified,San Diego,286,116,279,153,43.0,37.07,107.0,69.93
698,Santa Ynez Valley Union High,Santa Ynez Valley Union High,Santa Barbara,220,69,217,84,48.0,69.57,63.0,75.0
699,Come Back Butte Charter,Butte County Office of Education,Butte,29,0,17,0,0.0,0.0,0.0,0.0
700,California Virtual Academy at Maricopa,Maricopa Unified,Kern,29,3,46,0,7.0,7.0,0.0,0.0
701,Lifeline Education Charter,Compton Unified,Los Angeles,59,21,69,56,1.0,4.76,9.0,16.07
702,Quartz Hill High,Antelope Valley Union High,Los Angeles,750,188,724,573,113.0,60.11,211.0,36.82
703,CHAMPS - Charter HS of Arts-Multimedia & Performing,Los Angeles Unified,Los Angeles,182,84,193,69,29.0,34.52,32.0,46.38
704,Santee Education Complex,Los Angeles Unified,Los Angeles,384,334,455,371,28.0,8.38,44.0,11.86
705,Cal Burke High,Los Angeles Unified,Los Angeles,54,5,53,37,7.0,7.0,0.0,0.0
706,Aragon High,San Mateo Union High,San Mateo,385,172,420,216,135.0,78.49,171.0,79.17
707,College Bridge Academy,Inyo County Office of Education,Inyo,86,23,88,12,0.0,0.0,7.0,7.0
708,Felicitas and Gonzalo Mendez High,Los Angeles Unified,Los Angeles,247,139,201,204,21.0,15.11,33.0,16.18
709,New Designs Charter School-Watts,Los Angeles Unified,Los Angeles,47,25,49,19,1.0,4.0,1.0,5.26
710,Ambassador-Global Leadership,Los Angeles Unified,Los Angeles,68,45,74,66,10.0,22.22,4.0,6.06
711,Anderson Valley Junior-Senior High,Anderson Valley Unified,Mendocino,46,25,22,14,5.0,20.0,7.0,7.0
712,Glen View High,Beaumont Unified,Riverside,63,4,46,1,7.0,7.0,7.0,7.0
713,Santa Barbara Senior High,Santa Barbara Unified,Santa Barbara,519,157,524,239,105.0,66.88,179.0,74.9
714,Foothill High,Shasta Union High,Shasta,317,61,330,73,38.0,62.3,61.0,83.56
715,Briones (Alternative),Martinez Unified,Contra Costa,23,1,16,1,7.0,7.0,7.0,7.0
716,Riverdale High,Riverdale Joint Unified,Fresno,124,41,128,46,9.0,21.95,19.0,41.3
717,Juvenile Hall (Endeavor/Voyager Secondary),Madera County Superintendent of Schools,Madera,9,1,9,0,7.0,7.0,0.0,0.0
718,Coastal Academy Charter,Oceanside Unified,San Diego,48,11,59,16,7.0,7.0,10.0,62.5
719,Aspire Pacific Academy,Los Angeles Unified,Los Angeles,97,12,98,14,7.0,7.0,7.0,7.0
720,Provisional Accelerated Learning Academy,San Bernardino City Unified,San Bernardino,100,0,71,0,0.0,0.0,0.0,0.0
721,e3 Civic High,San Diego Unified,San Diego,81,32,101,91,12.0,37.5,17.0,18.68
722,Urban Discovery Academy Charter,San Diego Unified,San Diego,0,0,20,6,0.0,0.0,7.0,7.0
723,Downtown College Prep - Alum Rock,Santa Clara County Office of Education,Santa Clara,61,19,80,56,4.0,21.05,13.0,23.21
724,Williams Junior/Senior High,Williams Unified,Colusa,78,29,89,32,0.0,0.0,10.0,31.25
725,Summit Public School K2,Contra Costa County Office of Education,Contra Costa,0,0,87,81,0.0,0.0,37.0,45.68
726,Calabasas High,Las Virgenes Unified,Los Angeles,524,203,481,183,139.0,68.47,157.0,85.79
727,Monterey Continuation,Los Angeles Unified,Los Angeles,20,1,10,30,7.0,7.0,0.0,0.0
728,Los Angeles Center for Enriched Studies,Los Angeles Unified,Los Angeles,210,118,225,210,82.0,69.49,163.0,77.62
729,Downtown Business High,Los Angeles Unified,Los Angeles,203,154,223,231,82.0,53.25,124.0,53.68
730,Benjamin Franklin Senior High,Los Angeles Unified,Los Angeles,277,158,306,297,46.0,29.11,86.0,28.96
731,Napa Valley Independent Studies,Napa Valley Unified,Napa,53,5,38,12,7.0,7.0,7.0,7.0
732,Alta Loma High,Chaffey Joint Union High,San Bernardino,634,231,651,246,101.0,43.72,150.0,60.98
733,Guajome Park Academy Charter,Vista Unified,San Diego,103,41,126,30,27.0,65.85,21.0,70.0
734,Corning High,Corning Union High,Tehama,206,30,237,8,18.0,60.0,7.0,7.0
735,Communication and Technology at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,103,43,102,105,5.0,11.63,6.0,5.71
736,Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,Los Angeles,114,108,111,98,11.0,10.19,17.0,17.35
737,Hemet High,Hemet Unified,Riverside,573,405,600,53,98.0,24.2,33.0,62.26
738,Aspire Alexander Twilight Secondary Academy,San Juan Unified,Sacramento,36,26,38,19,4.0,15.38,2.0,10.53
739,"Humphreys College Academy of Business, Law and Education",New Jerusalem Elementary,San Joaquin,55,50,76,70,11.0,22.0,10.0,14.29
740,Dixon High,Dixon Unified,Solano,246,94,272,81,59.0,62.77,57.0,70.37
741,Leroy Greene Academy,Natomas Unified,Sacramento,67,37,82,78,4.0,10.81,14.0,17.95
742,Discovery High,Natomas Unified,Sacramento,74,3,39,15,7.0,7.0,1.0,6.67
743,Green Valley High,Yucaipa-Calimesa Joint Unified,San Bernardino,62,0,30,1,0.0,0.0,7.0,7.0
744,Ernest Kimme Charter Academy for Independent Learning,Vacaville Unified,Solano,44,2,50,0,7.0,7.0,0.0,0.0
745,Lindsay Senior High,Lindsay Unified,Tulare,250,100,255,96,12.0,12.0,21.0,21.88
746,Paradise Senior High,Paradise Unified,Butte,231,52,196,29,38.0,73.08,22.0,75.86
747,Matrix for Success Academy,Los Angeles Unified,Los Angeles,20,0,5,0,0.0,0.0,0.0,0.0
748,Everett Alvarez High,Salinas Union High,Monterey,607,161,677,163,48.0,29.81,55.0,33.74
749,Armijo High,Fairfield-Suisun Unified,Solano,500,127,479,89,75.0,59.06,58.0,65.17
750,Burroughs High,Sierra Sands Unified,Kern,331,86,355,98,62.0,72.09,80.0,81.63
751,Crossroads Charter,Armona Union Elementary,Kings,38,2,26,0,7.0,7.0,0.0,0.0
752,Phineas Banning Senior High,Los Angeles Unified,Los Angeles,545,176,588,514,39.0,22.16,69.0,13.42
753,Owensmouth Continuation,Los Angeles Unified,Los Angeles,33,0,43,3,0.0,0.0,7.0,7.0
754,Lake Balboa College Preparatory Magnet K-12,Los Angeles Unified,Los Angeles,26,13,32,30,7.0,7.0,16.0,53.33
755,Nogales High,Rowland Unified,Los Angeles,433,183,472,128,48.0,26.23,52.0,40.63
756,Central Valley High,Ceres Unified,Stanislaus,439,190,512,219,38.0,20.0,63.0,28.77
757,Santa Susana High,Simi Valley Unified,Ventura,252,67,281,97,54.0,80.6,90.0,92.78
758,Royal High,Simi Valley Unified,Ventura,456,133,505,128,81.0,60.9,100.0,78.13
759,Del Lago Academy - Campus of Applied Science,Escondido Union High,San Diego,178,97,200,96,47.0,48.45,51.0,53.13
760,Valley Center High,Valley Center-Pauma Unified,San Diego,267,109,256,66,41.0,37.61,44.0,66.67
761,Hart-Ransom Academic Charter,Hart-Ransom Union Elementary,Stanislaus,18,0,17,0,0.0,0.0,0.0,0.0
762,Grace M. Davis High,Modesto City High,Stanislaus,452,111,460,58,30.0,27.03,29.0,50.0
