,school,district,county,enroll_12,num_takers_12,avg_score_read,avg_score_eng,avg_score_math,avg_score_sci,num_above_benchmark,percent_above_benchmark
219,California School for the Deaf-Fremont,California School for the Deaf-Fremont (State Special Schl),Alameda,81,21,16,13,15,17,2,9.52
220,California School for the Deaf-Riverside,California School for the Deaf-Riverside (State Special Schl),Riverside,76,26,16,14,15,16,2,7.69
221,California School of the Arts - San Gabriel Valley,Duarte Unified,Los Angeles,90,27,27,27,24,24,21,77.78
222,California STEAM San Bernardino,Trona Joint Unified,San Bernardino,305,1,7,7,7,7,7,7.0
223,California STEAM Santa Barbara,Cuyama Joint Unified,Santa Barbara,18,0,0,0,0,0,0,0.0
224,California STEAM Sonoma II,Guerneville Elementary,Sonoma,59,0,0,0,0,0,0,0.0
225,California Virtual Academy @ Los Angeles,West Covina Unified,Los Angeles,329,9,7,7,7,7,7,7.0
226,California Virtual Academy @ San Diego,Spencer Valley Elementary,San Diego,183,3,7,7,7,7,7,7.0
227,California Virtual Academy @ San Joaquin,New Jerusalem Elementary,San Joaquin,133,3,7,7,7,7,7,7.0
228,California Virtual Academy @ Sonoma,Liberty Elementary,Sonoma,70,4,7,7,7,7,7,7.0
229,California Virtual Academy at Fresno,Orange Center,Fresno,40,0,0,0,0,0,0,0.0
230,California Virtual Academy at Kings,Armona Union Elementary,Kings,35,1,7,7,7,7,7,7.0
231,California Virtual Academy at Maricopa,Maricopa Unified,Kern,29,0,0,0,0,0,0,0.0
232,California Virtual Academy at Sutter,Meridian Elementary,Sutter,91,1,7,7,7,7,7,7.0
233,California Virtual Academy San Mateo,Jefferson Elementary,San Mateo,94,4,7,7,7,7,7,7.0
234,Calipatria High,Calipatria Unified,Imperial,91,19,20,21,19,20,9,47.37
235,Calistoga Junior-Senior High,Calistoga Joint Unified,Napa,45,13,7,7,7,7,7,7.0
236,Camino Nuevo Charter High,Los Angeles Unified,Los Angeles,86,34,17,16,15,15,4,11.76
237,Camino Nuevo High #2,Los Angeles Unified,Los Angeles,112,82,16,15,16,15,3,3.66
238,Campo High (Continuation),Mountain Empire Unified,San Diego,3,1,7,7,7,7,7,7.0
239,Campolindo High,Acalanes Union High,Contra Costa,340,161,30,30,28,28,149,92.55
240,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227,32,19,18,18,18,9,28.13
241,Canyon Crest Academy,San Dieguito Union High,San Diego,635,409,30,31,30,29,392,95.84
242,Canyon High,Orange Unified,Orange,572,119,25,25,24,24,92,77.31
243,Canyon High,William S. Hart Union High,Los Angeles,536,65,23,23,22,22,39,60.0
244,Canyon Springs High,Moreno Valley Unified,Riverside,494,31,22,21,21,19,16,51.61
245,Capistrano Valley High,Capistrano Unified,Orange,521,151,26,27,26,25,129,85.43
246,Capital City Independent Study,Sacramento City Unified,Sacramento,147,0,0,0,0,0,0,0.0
247,Capuchino High,San Mateo Union High,San Mateo,275,52,20,20,20,20,21,40.38
248,Carlmont High,Sequoia Union High,San Mateo,522,173,27,26,27,26,142,82.08
249,Carlsbad High,Carlsbad Unified,San Diego,525,154,24,24,24,23,110,71.43
250,Carlsbad Seaside Academy,Carlsbad Unified,San Diego,15,1,7,7,7,7,7,7.0
251,Carmel High,Carmel Unified,Monterey,207,121,26,26,25,25,93,76.86
252,Carpinteria Senior High,Carpinteria Unified,Santa Barbara,148,39,22,19,22,22,21,53.85
253,Carson Senior High,Los Angeles Unified,Los Angeles,334,26,20,20,20,19,11,42.31
254,Carter G. Woodson Public Charter,Fresno Unified,Fresno,135,3,7,7,7,7,7,7.0
255,Caruthers High,Caruthers Unified,Fresno,145,8,7,7,7,7,7,7.0
256,Casa Grande High,Petaluma Joint Union High,Sonoma,425,55,24,24,24,23,40,72.73
257,Casa Roble Fundamental High,San Juan Unified,Sacramento,255,19,22,20,21,22,10,52.63
258,Castle Park Senior High,Sweetwater Union High,San Diego,447,23,21,20,21,20,9,39.13
259,Castle Rock,Del Norte County Office of Education,Del Norte,108,0,0,0,0,0,0,0.0
260,Castlemont High,Oakland Unified,Alameda,182,1,7,7,7,7,7,7.0
261,Castro Valley High,Castro Valley Unified,Alameda,644,106,26,25,25,25,82,77.36
262,CATCH Prep Charter High Inc.,Los Angeles Unified,Los Angeles,37,14,7,7,7,7,7,7.0
263,Cathedral City High,Palm Springs Unified,Riverside,390,31,21,20,19,20,11,35.48
264,Ceiba College Preparatory Academy,Pajaro Valley Unified,Santa Cruz,63,2,7,7,7,7,7,7.0
265,Centennial High,Corona-Norco Unified,Riverside,786,163,21,21,22,21,84,51.53
266,Centennial High,Compton Unified,Los Angeles,214,153,14,13,15,15,4,2.61
267,Centennial High,Kern High,Kern,471,51,22,21,23,22,27,52.94
268,Center High,Center Joint Unified,Sacramento,315,14,7,7,7,7,7,7.0
269,Centinela Valley Independent Study,Centinela Valley Union High,Los Angeles,18,0,0,0,0,0,0,0.0
270,Central City Value,Los Angeles Unified,Los Angeles,105,15,21,21,19,20,8,53.33
271,Central Coast New Tech High,Lucia Mar Unified,San Luis Obispo,61,13,7,7,7,7,7,7.0
272,Central High East Campus,Central Unified,Fresno,913,37,22,21,20,22,20,54.05
273,Central Unified Alternative/Opportunity,Central Unified,Fresno,92,0,0,0,0,0,0,0.0
274,Central Union High,Central Union High,Imperial,403,56,21,20,21,21,26,46.43
275,Central Valley High,Ceres Unified,Stanislaus,439,9,7,7,7,7,7,7.0
276,Central Valley High,Gateway Unified,Shasta,133,3,7,7,7,7,7,7.0
277,Century Academy,Conejo Valley Unified,Ventura,28,2,7,7,7,7,7,7.0
278,Century High,Santa Ana Unified,Orange,417,39,19,18,18,18,11,28.21
279,Ceres High,Ceres Unified,Stanislaus,381,23,19,17,18,19,4,17.39
280,Cerritos High,ABC Unified,Los Angeles,509,93,27,28,28,26,83,89.25
281,Cesar Chavez High,Stockton Unified,San Joaquin,521,22,19,19,18,18,7,31.82
282,Cesar E. Chavez High,Delano Joint Union High,Kern,316,30,22,21,22,21,20,66.67
283,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),Los Angeles Unified,Los Angeles,108,28,18,16,18,17,8,28.57
284,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,Los Angeles,87,39,17,16,17,17,7,17.95
285,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,Los Angeles Unified,Los Angeles,96,2,7,7,7,7,7,7.0
286,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,Los Angeles Unified,Los Angeles,62,2,7,7,7,7,7,7.0
287,Chaffey District Online High,Chaffey Joint Union High,San Bernardino,31,6,7,7,7,7,7,7.0
288,Chaffey High,Chaffey Joint Union High,San Bernardino,782,31,21,20,20,20,14,45.16
289,CHAMPS - Charter HS of Arts-Multimedia & Performing,Los Angeles Unified,Los Angeles,182,52,22,22,18,20,24,46.15
290,Channel Islands High,Oxnard Union High,Ventura,611,74,19,18,18,18,17,22.97
291,Chaparral High,Temecula Valley Unified,Riverside,722,178,23,21,21,22,110,61.8
292,Chaparral High,Snowline Joint Unified,San Bernardino,98,1,7,7,7,7,7,7.0
293,Charter Community School Home Study Academy,El Dorado County Office of Education,El Dorado,111,2,7,7,7,7,7,7.0
294,Charter Oak High,Charter Oak Unified,Los Angeles,364,38,22,21,22,22,25,65.79
295,Charter School of San Diego,San Diego Unified,San Diego,499,7,7,7,7,7,7,7.0
296,Chatsworth Charter High,Los Angeles Unified,Los Angeles,448,19,21,20,21,20,10,52.63
297,Chawanakee Academy Charter,Chawanakee Unified,Madera,45,1,7,7,7,7,7,7.0
298,Chesnut High (Continuation),Coalinga-Huron Unified,Fresno,17,1,7,7,7,7,7,7.0
299,Chester Junior/Senior High,Plumas Unified,Plumas,22,3,7,7,7,7,7,7.0
300,Cheviot Hills Continuation,Los Angeles Unified,Los Angeles,25,1,7,7,7,7,7,7.0
301,Chico High,Chico Unified,Butte,475,46,25,23,24,24,32,69.57
302,Chino High,Chino Valley Unified,San Bernardino,432,16,22,21,20,22,8,50.0
303,Chino Hills High,Chino Valley Unified,San Bernardino,704,79,25,24,24,23,58,73.42
304,Chowchilla Union High,Chowchilla Union High,Madera,262,18,21,20,20,21,9,50.0
305,Christopher High,Gilroy Unified,Santa Clara,397,100,23,22,23,22,63,63.0
306,Chula Vista Learning Community Charter,Chula Vista Elementary,San Diego,99,11,7,7,7,7,7,7.0
307,Chula Vista Senior High,Sweetwater Union High,San Diego,672,83,20,20,19,20,35,42.17
308,Circle of Independent Learning,Fremont Unified,Alameda,71,4,7,7,7,7,7,7.0
309,CIS Academy,Pasadena Unified,Los Angeles,115,1,7,7,7,7,7,7.0
310,Citrus High (Continuation),Fontana Unified,San Bernardino,181,103,12,10,14,12,0,0.0
311,Citrus Hill High,Val Verde Unified,Riverside,481,4,7,7,7,7,7,7.0
312,Citrus Valley High,Redlands Unified,San Bernardino,490,33,24,23,23,23,20,60.61
313,City Arts and Tech High,San Francisco Unified,San Francisco,67,7,7,7,7,7,7,7.0
314,City Heights Preparatory Charter,San Diego Unified,San Diego,4,1,7,7,7,7,7,7.0
315,City Honors College Preparatory Academy,Inglewood Unified,Los Angeles,95,17,19,18,18,18,7,41.18
316,City of Angels,Los Angeles Unified,Los Angeles,292,2,7,7,7,7,7,7.0
317,Civicorps Corpsmember Academy,Oakland Unified,Alameda,60,0,0,0,0,0,0,0.0
318,Clairemont High,San Diego Unified,San Diego,207,27,25,25,24,24,19,70.37
319,Claremont High,Claremont Unified,Los Angeles,591,139,25,24,24,24,103,74.1
320,Clarksville Charter,Buckeye Union Elementary,El Dorado,25,0,0,0,0,0,0,0.0
321,Classical Academy High,Escondido Union High,San Diego,298,69,27,27,27,26,62,89.86
322,Clayton Valley Charter High,Contra Costa County Office of Education,Contra Costa,482,130,25,24,23,24,95,73.08
323,Clear Lake High,Lakeport Unified,Lake,80,2,7,7,7,7,7,7.0
324,Cloverdale High,Cloverdale Unified,Sonoma,70,5,7,7,7,7,7,7.0
325,Clovis East High,Clovis Unified,Fresno,584,55,22,21,22,23,31,56.36
326,Clovis High,Clovis Unified,Fresno,733,88,24,22,22,22,57,64.77
327,Clovis North High,Clovis Unified,Fresno,576,124,27,27,27,27,111,89.52
328,Clovis Online Charter,Clovis Unified,Fresno,114,3,7,7,7,7,7,7.0
329,Clovis West High,Clovis Unified,Fresno,486,84,23,24,24,23,58,69.05
330,Coachella Valley High,Coachella Valley Unified,Riverside,607,88,18,16,19,18,18,20.45
331,Coalinga High,Coalinga-Huron Unified,Fresno,236,4,7,7,7,7,7,7.0
332,Coast High,Huntington Beach Union High,Orange,139,1,7,7,7,7,7,7.0
333,Coast Union High,Coast Unified,San Luis Obispo,39,6,7,7,7,7,7,7.0
334,Coastal Academy Charter,Oceanside Unified,San Diego,48,1,7,7,7,7,7,7.0
335,Cobalt Institute of Math and Science Academy,Victor Valley Union High,San Bernardino,103,19,20,18,19,19,7,36.84
336,Cold Stream Alternative,Tahoe-Truckee Unified,Placer,3,1,7,7,7,7,7,7.0
