,school,district,county,enroll_12,num_takers_12,avg_score_read,avg_score_eng,avg_score_math,avg_score_sci,num_above_benchmark,percent_above_benchmark
703,High Tech High Media Arts,San Diego Unified,San Diego,90,38,21,21,19,20,19,50.0
704,High Tech High North County,SBC - High Tech High,San Diego,95,24,23,22,20,22,13,54.17
705,High Tech LA,Los Angeles Unified,Los Angeles,90,15,20,21,21,20,6,40.0
706,Highland High,Kern High,Kern,477,22,22,19,20,20,10,45.45
707,Highland High,Antelope Valley Union High,Los Angeles,691,25,22,21,19,20,12,48.0
708,Highlands Community Charter,Twin Rivers Unified,Sacramento,325,0,0,0,0,0,0,0.0
709,Highlands High,Twin Rivers Unified,Sacramento,143,3,7,7,7,7,7,7.0
710,Hilda L. Solis Learning Academy School of Technology Business and Education,Los Angeles Unified,Los Angeles,67,20,17,16,18,18,2,10.0
711,Hillcrest High,Alvord Unified,Riverside,391,17,22,22,22,21,11,64.71
712,Hillsdale High,San Mateo Union High,San Mateo,356,65,26,25,25,25,55,84.62
713,Hilltop Senior High,Sweetwater Union High,San Diego,599,73,21,20,20,21,36,49.32
714,Hilmar High,Hilmar Unified,Merced,154,26,22,20,20,20,11,42.31
715,Hiram W. Johnson High,Sacramento City Unified,Sacramento,364,28,15,15,18,17,1,3.57
716,Hollywood Senior High,Los Angeles Unified,Los Angeles,334,48,20,20,19,20,21,43.75
717,Holtville High,Holtville Unified,Imperial,138,29,20,18,20,19,9,31.03
718,Homestead High,Fremont Union High,Santa Clara,605,197,30,30,30,29,185,93.91
719,HomeTech Charter,Paradise Unified,Butte,25,0,0,0,0,0,0,0.0
720,Hoopa Valley High,Klamath-Trinity Joint Unified,Humboldt,52,0,0,0,0,0,0,0.0
721,Hoover High,San Diego Unified,San Diego,489,206,18,17,18,18,49,23.79
722,Horizon,Desert Sands Unified,Riverside,41,1,7,7,7,7,7,7.0
723,Horizon Charter,Western Placer Unified,Placer,273,7,7,7,7,7,7,7.0
724,Horizons School: Independent Study,Mt. Diablo Unified,Contra Costa,54,1,7,7,7,7,7,7.0
725,Hueneme High,Oxnard Union High,Ventura,491,30,21,19,20,19,13,43.33
726,Hughson High,Hughson Unified,Stanislaus,150,12,7,7,7,7,7,7.0
727,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,Los Angeles Unified,Los Angeles,79,0,0,0,0,0,0,0.0
728,Humanities and Arts (HARTS) Academy of Los Angeles,Los Angeles Unified,Los Angeles,105,8,7,7,7,7,7,7.0
729,Humphreys College Academy of Business Law and Education,New Jerusalem Elementary,San Joaquin,55,2,7,7,7,7,7,7.0
730,Huntington Beach High,Huntington Beach Union High,Orange,718,205,25,24,24,23,159,77.56
731,Huntington Park Senior High,Los Angeles Unified,Los Angeles,301,44,16,16,17,17,7,15.91
732,ICEF View Park Preparatory High,Los Angeles Unified,Los Angeles,120,21,18,17,16,16,3,14.29
733,IDEA Center,Grossmont Union High,San Diego,61,0,0,0,0,0,0,0.0
734,iHigh Virtual Academy,San Diego Unified,San Diego,19,5,7,7,7,7,7,7.0
735,iLEAD Hybrid,Acton-Agua Dulce Unified,Los Angeles,60,0,0,0,0,0,0,0.0
736,Impact Academy of Arts & Technology,Hayward Unified,Alameda,102,23,18,18,19,18,5,21.74
737,Imperial High,Imperial Unified,Imperial,279,65,23,22,21,22,35,53.85
738,Imperial Pathways Charter,Imperial County Office of Education,Imperial,148,0,0,0,0,0,0,0.0
739,Independence,Lodi Unified,San Joaquin,90,2,7,7,7,7,7,7.0
740,Independence Charter Academy,Helendale Elementary,San Bernardino,27,0,0,0,0,0,0,0.0
741,Independence High,East Side Union High,Santa Clara,683,86,21,20,21,21,40,46.51
742,Independence High,Paso Robles Joint Unified,San Luis Obispo,48,0,0,0,0,0,0,0.0
743,Independence High,San Francisco Unified,San Francisco,68,2,7,7,7,7,7,7.0
744,Independence High,Liberty Union High,Contra Costa,169,1,7,7,7,7,7,7.0
745,Independence High,Kern High,Kern,511,41,20,20,19,20,15,36.59
746,Independence High (Alternative),Roseville Joint Union High,Placer,90,2,7,7,7,7,7,7.0
747,Independence High (Alternative),Merced Union High,Merced,22,0,0,0,0,0,0,0.0
748,Independence High (Alternative),Alhambra Unified,Los Angeles,52,0,0,0,0,0,0,0.0
749,Independent Study Sojourner Truth,Oakland Unified,Alameda,66,1,7,7,7,7,7,7.0
750,Inderkum High,Natomas Unified,Sacramento,471,463,18,16,18,17,110,23.76
751,Indian Springs High,San Bernardino City Unified,San Bernardino,382,110,17,16,17,17,20,18.18
752,Indio High,Desert Sands Unified,Riverside,517,45,18,17,17,18,9,20.0
753,Ingenuity Charter,San Diego Unified,San Diego,81,0,0,0,0,0,0,0.0
754,Inglewood High,Inglewood Unified,Los Angeles,176,60,16,16,16,16,6,10.0
755,Insight @ San Diego,Spencer Valley Elementary,San Diego,116,0,0,0,0,0,0,0.0
756,Insight @ San Joaquin,New Jerusalem Elementary,San Joaquin,113,0,0,0,0,0,0,0.0
757,Insight School of California,Maricopa Unified,Kern,179,0,0,0,0,0,0,0.0
758,Inspire Charter,Acton-Agua Dulce Unified,Los Angeles,133,0,0,0,0,0,0,0.0
759,Inspire Charter School - Central,Westside Elementary,Fresno,30,3,7,7,7,7,7,7.0
760,Inspire Charter School - Kern,Maricopa Unified,Kern,78,0,0,0,0,0,0,0.0
761,Inspire Charter School - North,Winship-Robbins,Sutter,78,9,7,7,7,7,7,7.0
762,Inspire Charter School - South,Dehesa Elementary,San Diego,116,14,7,7,7,7,7,7.0
763,Inspire School of Arts and Sciences,Chico Unified,Butte,94,7,7,7,7,7,7,7.0
764,International Polytechnic High,Los Angeles County Office of Education,Los Angeles,131,54,26,25,23,23,44,81.48
765,International Studies Learning Center at Legacy High School Complex,Los Angeles Unified,Los Angeles,84,36,19,18,18,18,10,27.78
766,Ipakanni Early College Charter,Feather Falls Union Elementary,Butte,16,0,0,0,0,0,0,0.0
767,iQ Academy California-Los Angeles,Rowland Unified,Los Angeles,71,0,0,0,0,0,0,0.0
768,Irvine High,Irvine Unified,Orange,533,139,28,29,29,28,127,91.37
769,Irvington High,Fremont Unified,Alameda,497,111,30,31,30,29,103,92.79
770,Ivy Academia,Los Angeles Unified,Los Angeles,43,2,7,7,7,7,7,7.0
771,IvyTech Charter,Moorpark Unified,Ventura,24,0,0,0,0,0,0,0.0
772,J. E. Young Academic Center,Fresno Unified,Fresno,109,0,0,0,0,0,0,0.0
773,James A. Garfield Senior High,Los Angeles Unified,Los Angeles,581,269,18,17,19,17,56,20.82
774,James C. Enochs High,Modesto City High,Stanislaus,577,88,23,22,22,22,54,61.36
775,James Lick High,East Side Union High,Santa Clara,267,7,7,7,7,7,7,7.0
776,James Logan High,New Haven Unified,Alameda,885,132,24,23,24,24,90,68.18
777,James Monroe High,Los Angeles Unified,Los Angeles,510,51,20,19,20,19,18,35.29
778,Jefferson High,Jefferson Union High,San Mateo,260,19,19,20,19,19,9,47.37
779,Jesse M. Bethel High,Vallejo City Unified,Solano,380,44,20,18,18,19,13,29.55
780,John A. Rowland High,Rowland Unified,Los Angeles,513,51,25,25,26,25,42,82.35
781,John Adams Academy,Loomis Union Elementary,Placer,46,12,7,7,7,7,7,7.0
782,John C. Fremont Senior High,Los Angeles Unified,Los Angeles,402,11,7,7,7,7,7,7.0
783,John C. Kimball High,Tracy Joint Unified,San Joaquin,349,25,24,22,23,23,16,64.0
784,John F. Kennedy High,Sacramento City Unified,Sacramento,537,70,24,22,24,23,47,67.14
785,John F. Kennedy High,Corona-Norco Unified,Riverside,232,59,22,22,20,21,33,55.93
786,John F. Kennedy High,Fremont Unified,Alameda,310,38,26,25,25,24,29,76.32
787,John F. Kennedy High,West Contra Costa Unified,Contra Costa,197,15,16,16,16,14,0,0.0
788,John F. Kennedy High,Anaheim Union High,Orange,654,55,23,23,23,23,35,63.64
789,John F. Kennedy High,Los Angeles Unified,Los Angeles,463,32,21,20,21,20,14,43.75
790,John H. Francis Polytechnic,Los Angeles Unified,Los Angeles,675,44,23,22,24,23,26,59.09
791,John H. Glenn High,Norwalk-La Mirada Unified,Los Angeles,314,43,16,16,17,17,8,18.6
792,John H. Pitman High,Turlock Unified,Stanislaus,511,52,23,22,22,22,32,61.54
793,John Henry High,West Contra Costa Unified,Contra Costa,78,4,7,7,7,7,7,7.0
794,John Marshall Senior High,Los Angeles Unified,Los Angeles,552,77,23,22,22,22,49,63.64
795,John Muir Charter,Nevada County Office of Education,Nevada,604,0,0,0,0,0,0,0.0
796,John Muir High,Pasadena Unified,Los Angeles,236,30,18,18,18,19,7,23.33
797,John Swett High,John Swett Unified,Contra Costa,101,13,7,7,7,7,7,7.0
798,John W. North High,Riverside Unified,Riverside,501,118,20,19,20,20,45,38.14
799,Jordan (June) School for Equity,San Francisco Unified,San Francisco,65,33,16,14,16,15,4,12.12
800,Jordan High,Long Beach Unified,Los Angeles,606,107,17,16,18,18,22,20.56
801,Joseph A. Gregori High,Modesto City High,Stanislaus,539,80,24,23,23,23,53,66.25
802,Julian Charter,Julian Union Elementary,San Diego,119,6,7,7,7,7,7,7.0
803,Julian High,Julian Union High,San Diego,20,1,7,7,7,7,7,7.0
804,Junipero Serra High,Capistrano Unified,Orange,89,1,7,7,7,7,7,7.0
805,Jurupa Hills High,Fontana Unified,San Bernardino,466,424,16,14,16,16,45,10.61
806,Jurupa Valley High,Jurupa Unified,Riverside,383,98,18,17,19,19,27,27.55
807,Katella High,Anaheim Union High,Orange,651,18,20,18,18,20,7,38.89
808,Kearny College Connections,San Diego Unified,San Diego,100,8,7,7,7,7,7,7.0
809,Kearny Digital Media & Design,San Diego Unified,San Diego,86,1,7,7,7,7,7,7.0
810,Kearny Eng Innov & Design,San Diego Unified,San Diego,60,3,7,7,7,7,7,7.0
811,Kearny SCT,San Diego Unified,San Diego,77,15,21,19,21,22,7,46.67
812,Keith McCarthy Academy,Lake Elsinore Unified,Riverside,48,0,0,0,0,0,0,0.0
813,Kelseyville High,Kelseyville Unified,Lake,124,18,19,19,19,18,7,38.89
814,Kerman High,Kerman Unified,Fresno,382,38,22,21,21,23,18,47.37
815,Kern Valley High,Kern High,Kern,113,20,22,21,21,22,13,65.0
816,Kern Workforce 2000 Academy,Kern High,Kern,257,0,0,0,0,0,0,0.0
817,Keyes to Learning Charter,Keyes Union,Stanislaus,25,2,7,7,7,7,7,7.0
818,King City High,South Monterey County Joint Union High,Monterey,221,35,19,19,18,19,9,25.71
819,King/Drew Medical Magnet High,Los Angeles Unified,Los Angeles,334,102,21,19,19,19,40,39.22
820,King-Chavez Community High,San Diego Unified,San Diego,87,17,16,13,16,15,0,0.0
821,Kings Valley Academy II,Kit Carson Union Elementary,Kings,75,0,0,0,0,0,0,0.0
822,Kingsburg High,Kingsburg Joint Union High,Fresno,246,41,23,21,22,21,26,63.41
823,Kingsburg Independent Study High,Kingsburg Joint Union High,Fresno,19,0,0,0,0,0,0,0.0
824,KIPP King Collegiate High,San Lorenzo Unified,Alameda,144,108,21,21,22,21,58,53.7
825,KIPP San Francisco College Preparatory,San Francisco Unified,San Francisco,53,50,20,19,19,19,20,40.0
826,KIPP San Jose Collegiate,East Side Union High,Santa Clara,112,100,20,20,20,20,40,40.0
827,Konocti Education Center,Konocti Unified,Lake,22,2,7,7,7,7,7,7.0
828,L.A. County High School for the Arts,Los Angeles County Office of Education,Los Angeles,128,36,26,26,21,22,25,69.44
829,La Canada High,La Canada Unified,Los Angeles,346,138,29,29,29,28,130,94.2
830,La Costa Canyon High,San Dieguito Union High,San Diego,523,248,25,26,25,25,207,83.47
831,La Entrada High,Placentia-Yorba Linda Unified,Orange,24,0,0,0,0,0,0,0.0
832,La Habra High,Fullerton Joint Union High,Orange,539,59,24,23,22,22,39,66.1
833,La Jolla High,San Diego Unified,San Diego,339,112,29,29,27,27,106,94.64
834,La Mirada High,Norwalk-La Mirada Unified,Los Angeles,468,42,24,23,21,21,29,69.05
835,La Puente High,Hacienda la Puente Unified,Los Angeles,254,41,22,20,21,20,25,60.98
836,La Quinta High,Garden Grove Unified,Orange,561,199,24,25,25,23,159,79.9
837,La Quinta High,Desert Sands Unified,Riverside,618,62,22,20,20,21,30,48.39
838,La Serna High,Whittier Union High,Los Angeles,609,70,23,22,23,22,49,70.0
839,La Sierra High,Alvord Unified,Riverside,418,61,18,18,19,19,15,24.59
840,La Sierra High,Tulare County Office of Education,Tulare,43,0,0,0,0,0,0,0.0
841,La Sierra High (Alternative),Fullerton Joint Union High,Orange,235,0,0,0,0,0,0,0.0
842,La Vista High (Continuation),Fullerton Joint Union High,Orange,224,1,7,7,7,7,7,7.0
843,Laguna Beach High,Laguna Beach Unified,Orange,294,165,26,27,26,26,149,90.3
844,Laguna Creek High,Elk Grove Unified,Sacramento,451,85,24,23,23,23,61,71.76
845,Laguna Hills High,Saddleback Valley Unified,Orange,374,66,26,26,25,24,54,81.82
846,Lake Balboa College Preparatory Magnet K-12,Los Angeles Unified,Los Angeles,26,0,0,0,0,0,0,0.0
847,Lakeside High,Lake Elsinore Unified,Riverside,387,92,19,18,19,19,30,32.61
848,Lakewood High,Long Beach Unified,Los Angeles,743,38,22,21,21,21,22,57.89
849,Lancaster High,Antelope Valley Union High,Los Angeles,575,45,21,21,19,20,19,42.22
850,Larchmont Charter,Los Angeles Unified,Los Angeles,112,0,0,0,0,0,0,0.0
851,Las Flores High (Alternative),Elk Grove Unified,Sacramento,64,0,0,0,0,0,0,0.0
852,Las Lomas High,Acalanes Union High,Contra Costa,367,128,26,26,25,25,107,83.59
853,Las Plumas High,Oroville Union High,Butte,218,14,7,7,7,7,7,7.0
854,Lassen High,Lassen Union High,Lassen,188,27,22,21,21,21,15,55.56
855,Lathrop High,Manteca Unified,San Joaquin,321,32,21,21,21,21,17,53.13
856,Latino College Preparatory Academy,East Side Union High,Santa Clara,93,5,7,7,7,7,7,7.0
857,Laton High,Laton Joint Unified,Fresno,47,8,7,7,7,7,7,7.0
858,Lawndale High,Centinela Valley Union High,Los Angeles,553,28,18,17,17,18,5,17.86
859,Laytonville High,Laytonville Unified,Mendocino,27,1,7,7,7,7,7,7.0
860,Le Grand High,Le Grand Union High,Merced,95,33,17,15,17,17,4,12.12
861,Leadership High,San Francisco Unified,San Francisco,75,26,17,15,16,16,2,7.69
862,Leadership Public Schools - Hayward,Hayward Unified,Alameda,140,134,19,18,19,19,39,29.1
863,Leadership Public Schools: Richmond,West Contra Costa Unified,Contra Costa,149,148,17,15,17,16,18,12.16
864,Learning Choice Academy,San Diego Unified,San Diego,54,5,7,7,7,7,7,7.0
865,Learning Choice Academy - Chula Vista,Chula Vista Elementary,San Diego,43,0,0,0,0,0,0,0.0
866,Learning for Life Charter,Monterey Peninsula Unified,Monterey,40,0,0,0,0,0,0,0.0
867,Learning Post High (Alternative),William S. Hart Union High,Los Angeles,71,4,7,7,7,7,7,7.0
868,Learning Works,Pasadena Unified,Los Angeles,141,0,0,0,0,0,0,0.0
869,Leigh High,Campbell Union High,Santa Clara,415,133,28,28,28,27,120,90.23
870,Leland High,San Jose Unified,Santa Clara,454,164,29,30,29,28,148,90.24
871,Lemoore High,Lemoore Union High,Kings,410,81,20,19,19,19,28,34.57
872,Lemoore Middle College High,Lemoore Union High,Kings,59,3,7,7,7,7,7,7.0
873,Lennox Mathematics Science and Technology Academy,Lennox,Los Angeles,143,105,18,17,19,18,27,25.71
874,Leroy Greene Academy,Natomas Unified,Sacramento,67,69,17,16,17,17,9,13.04
875,Leuzinger High,Centinela Valley Union High,Los Angeles,415,33,18,17,17,17,4,12.12
876,Liberty High,Golden Valley Unified,Madera,138,17,23,24,22,22,12,70.59
877,Liberty High,Kern High,Kern,540,60,23,22,22,22,42,70.0
878,Liberty High,Liberty Union High,Contra Costa,610,82,24,22,22,22,55,67.07
879,Liberty High (Alternative),San Jose Unified,Santa Clara,190,0,0,0,0,0,0,0.0
880,Liberty Ranch High,Galt Joint Union High,Sacramento,315,32,23,23,22,22,23,71.88
881,LIFE Academy,Oakland Unified,Alameda,65,27,20,20,20,20,13,48.15
882,Lifeline Education Charter,Compton Unified,Los Angeles,59,36,16,14,16,15,4,11.11
883,Lighthouse Community Charter High,Oakland Unified,Alameda,64,0,0,0,0,0,0,0.0
884,Lincoln (Abraham) High,San Francisco Unified,San Francisco,519,112,22,21,22,21,64,57.14
885,Lincoln High,San Diego Unified,San Diego,364,81,18,17,18,18,13,16.05
886,Lincoln High,Western Placer Unified,Placer,414,57,24,23,22,23,38,66.67
887,Lincoln High,Lincoln Unified,San Joaquin,676,59,23,22,23,23,43,72.88
888,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,Los Angeles Unified,Los Angeles,144,88,16,16,17,17,8,9.09
889,Linda Esperanza Marquez High B LIBRA Academy,Los Angeles Unified,Los Angeles,141,37,18,18,18,18,10,27.03
890,Linda Esperanza Marquez High C School of Social Justice,Los Angeles Unified,Los Angeles,122,61,16,15,16,17,4,6.56
891,Linden High,Linden Unified,San Joaquin,151,33,22,21,20,21,13,39.39
892,Lindhurst High,Marysville Joint Unified,Yuba,214,19,22,18,20,20,8,42.11
893,Lindsay Senior High,Lindsay Unified,Tulare,250,9,7,7,7,7,7,7.0
894,Literacy First Charter,San Diego County Office of Education,San Diego,80,18,23,23,25,24,14,77.78
895,Littlerock High,Antelope Valley Union High,Los Angeles,336,25,16,15,16,16,2,8.0
896,Live Oak High,Live Oak Unified,Sutter,129,33,19,20,20,20,12,36.36
897,Live Oak High,Morgan Hill Unified,Santa Clara,261,32,23,22,22,21,20,62.5
898,Livermore High,Livermore Valley Joint Unified,Alameda,437,99,25,24,24,24,80,80.81
899,Livingston High,Merced Union High,Merced,291,51,20,18,19,20,17,33.33
900,Loara High,Anaheim Union High,Orange,482,53,18,18,18,19,13,24.53
901,Lodi High,Lodi Unified,San Joaquin,508,121,23,22,23,22,77,63.64
902,Lompoc High,Lompoc Unified,Santa Barbara,342,14,7,7,7,7,7,7.0
903,Lone Pine High,Lone Pine Unified,Inyo,16,1,7,7,7,7,7,7.0
904,Long Valley Charter - Susanville,Ravendale-Termo Elementary,Lassen,22,0,0,0,0,0,0,0.0
905,Los Alamitos High,Los Alamitos Unified,Orange,758,262,26,27,26,25,214,81.68
906,Los Altos High,Hacienda la Puente Unified,Los Angeles,411,30,21,21,21,22,18,60.0
907,Los Altos High,Mountain View-Los Altos Union High,Santa Clara,525,168,29,29,28,28,153,91.07
908,Los Amigos High,Garden Grove Unified,Orange,416,163,18,17,18,18,41,25.15
909,Los Angeles Academy of Arts and Enterprise,Los Angeles Unified,Los Angeles,47,11,7,7,7,7,7,7.0
910,Los Angeles Center for Enriched Studies,Los Angeles Unified,Los Angeles,210,61,27,28,28,27,56,91.8
911,Los Angeles High School of the Arts,Los Angeles Unified,Los Angeles,108,17,22,22,18,20,10,58.82
912,Los Angeles International Charter High,Los Angeles County Office of Education,Los Angeles,51,2,7,7,7,7,7,7.0
913,Los Angeles Leadership Academy,Los Angeles Unified,Los Angeles,44,0,0,0,0,0,0,0.0
914,Los Angeles Senior High,Los Angeles Unified,Los Angeles,242,9,7,7,7,7,7,7.0
915,Los Banos High,Los Banos Unified,Merced,303,19,21,20,20,20,8,42.11
916,Los Gatos High,Los Gatos-Saratoga Joint Union High,Santa Clara,544,187,29,29,28,28,179,95.72
917,Los Molinos High,Los Molinos Unified,Tehama,37,38,17,15,17,17,9,23.68
918,Los Osos High,Chaffey Joint Union High,San Bernardino,763,149,24,24,25,24,106,71.14
919,Lowell High,San Francisco Unified,San Francisco,678,244,28,28,28,26,219,89.75
920,Lower Lake High,Konocti Unified,Lake,121,14,7,7,7,7,7,7.0
921,Loyalton High,Sierra-Plumas Joint Unified,Sierra,19,3,7,7,7,7,7,7.0
922,LPS Oakland R & D Campus,Oakland Unified,Alameda,111,99,15,13,16,16,4,4.04
923,Lucerne Valley High,Lucerne Valley Unified,San Bernardino,36,0,0,0,0,0,0,0.0
924,Luis Valdez Leadership Academy,East Side Union High,Santa Clara,102,22,17,15,16,15,2,9.09
925,Luther Burbank High,Sacramento City Unified,Sacramento,449,62,18,16,17,18,12,19.35
926,Lynbrook High,Fremont Union High,Santa Clara,415,172,32,32,32,31,165,95.93
927,Lynwood High,Lynwood Unified,Los Angeles,473,92,18,17,17,17,18,19.57
928,MAAC Community Charter,Sweetwater Union High,San Diego,153,0,0,0,0,0,0,0.0
929,Madera High,Madera Unified,Madera,467,128,20,19,19,20,47,36.72
930,Madera South High,Madera Unified,Madera,621,141,17,15,17,17,18,12.77
931,Madison High,San Diego Unified,San Diego,221,39,20,19,19,20,16,41.03
932,Madison Park Academy 6-12,Oakland Unified,Alameda,93,8,7,7,7,7,7,7.0
933,Magnolia High,Anaheim Union High,Orange,419,9,7,7,7,7,7,7.0
934,Magnolia Science Academy,Los Angeles County Office of Education,Los Angeles,69,0,0,0,0,0,0,0.0
935,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41,13,7,7,7,7,7,7.0
936,Magnolia Science Academy 3,Los Angeles County Office of Education,Los Angeles,50,4,7,7,7,7,7,7.0
937,Magnolia Science Academy 4,Los Angeles Unified,Los Angeles,43,4,7,7,7,7,7,7.0
938,Magnolia Science Academy Santa Ana,SBE - Magnolia Science Academy Santa Ana,Orange,34,3,7,7,7,7,7,7.0
939,Maidu Virtual Charter Academy,Placer Union High,Placer,33,0,0,0,0,0,0,0.0
940,Making Waves Academy,Contra Costa County Office of Education,Contra Costa,83,20,20,19,20,19,10,50.0
941,Malibu High,Santa Monica-Malibu Unified,Los Angeles,157,36,26,26,24,24,28,77.78
942,Mammoth High,Mammoth Unified,Mono,98,19,26,25,23,24,15,78.95
943,Manteca Community Day (7-12),Manteca Unified,San Joaquin,4,1,7,7,7,7,7,7.0
944,Manteca High,Manteca Unified,San Joaquin,372,16,23,23,22,22,9,56.25
945,Manual Arts Senior High,Los Angeles Unified,Los Angeles,377,80,15,14,16,16,5,6.25
946,Mar Vista Senior High,Sweetwater Union High,San Diego,417,55,20,19,19,20,21,38.18
947,Marco Antonio Firebaugh High,Lynwood Unified,Los Angeles,357,68,18,17,17,17,10,14.71
948,Maria Carrillo High,Santa Rosa High,Sonoma,352,81,29,28,27,27,76,93.83
949,Maricopa High,Maricopa Unified,Kern,22,0,0,0,0,0,0,0.0
950,Marina High,Monterey Peninsula Unified,Monterey,145,11,7,7,7,7,7,7.0
951,Marina High,Huntington Beach Union High,Orange,622,84,27,26,26,25,69,82.14
952,Mariposa County High,Mariposa County Unified,Mariposa,134,16,24,22,23,22,8,50.0
953,Mark Keppel High,Alhambra Unified,Los Angeles,579,91,27,27,27,26,81,89.01
954,Marshall (Thurgood) High,San Francisco Unified,San Francisco,104,23,16,14,18,17,4,17.39
955,Marshall Fundamental,Pasadena Unified,Los Angeles,269,50,24,23,23,23,36,72.0
956,Martin Luther King Jr. High,Riverside Unified,Riverside,759,148,24,23,24,24,103,69.59
957,Marysville Charter Academy for the Arts,Marysville Joint Unified,Yuba,56,1,7,7,7,7,7,7.0
958,Marysville High,Marysville Joint Unified,Yuba,173,22,19,18,19,18,8,36.36
959,Math and Science College Preparatory,Los Angeles Unified,Los Angeles,155,148,16,16,18,17,28,18.92
960,Math Science & Technology Magnet Academy at Roosevelt High,Los Angeles Unified,Los Angeles,104,66,19,19,19,19,21,31.82
961,Matrix for Success Academy,Los Angeles Unified,Los Angeles,20,0,0,0,0,0,0,0.0
962,Matt Garcia Career and College Academy,Fairfield-Suisun Unified,Solano,7,1,7,7,7,7,7,7.0
963,Maxwell Sr High,Maxwell Unified,Colusa,29,0,0,0,0,0,0,0.0
964,Mayfair High,Bellflower Unified,Los Angeles,452,24,25,24,22,23,19,79.17
965,Maywood Academy High,Los Angeles Unified,Los Angeles,249,26,18,16,17,18,5,19.23
966,Maywood Center for Enriched Studies,Los Angeles Unified,Los Angeles,90,5,7,7,7,7,7,7.0
967,McClymonds High,Oakland Unified,Alameda,77,45,14,13,15,14,5,11.11
968,McFarland High,McFarland Unified,Kern,203,16,18,16,19,17,4,25.0
969,McKinleyville High,Northern Humboldt Union High,Humboldt,143,9,7,7,7,7,7,7.0
970,McLane High,Fresno Unified,Fresno,366,51,17,15,17,17,6,11.76
971,Mendocino High,Mendocino Unified,Mendocino,44,8,7,7,7,7,7,7.0
972,Mendota High,Mendota Unified,Fresno,223,82,16,15,17,16,7,8.54
973,Menlo-Atherton High,Sequoia Union High,San Mateo,644,133,28,27,27,26,107,80.45
974,Merced High,Merced Union High,Merced,400,52,20,19,20,20,22,42.31
975,Merced Scholars Charter,Merced County Office of Education,Merced,19,0,0,0,0,0,0,0.0
976,Merrill F. West High,Tracy Joint Unified,San Joaquin,481,65,20,19,19,20,20,30.77
977,Mesa Verde High,San Juan Unified,Sacramento,211,27,20,19,19,19,10,37.04
978,MethodSchools,Dehesa Elementary,San Diego,13,2,7,7,7,7,7,7.0
979,MetWest High,Oakland Unified,Alameda,37,0,0,0,0,0,0,0.0
980,Middle College High,West Contra Costa Unified,Contra Costa,72,21,22,20,20,20,11,52.38
981,Middle College High,Santa Ana Unified,Orange,86,79,19,17,19,19,19,24.05
982,Middle College High,Lodi Unified,San Joaquin,61,44,26,26,24,24,35,79.55
983,Middle College High,Los Angeles Unified,Los Angeles,88,26,19,19,19,18,8,30.77
984,Middle College High,San Bernardino City Unified,San Bernardino,67,47,20,19,20,20,17,36.17
985,Middle College High,San Jose Unified,Santa Clara,28,0,0,0,0,0,0,0.0
986,Middletown High,Middletown Unified,Lake,119,11,7,7,7,7,7,7.0
987,Millennium Charter,Tracy Joint Unified,San Joaquin,128,10,7,7,7,7,7,7.0
988,Millennium Charter High,Monterey County Office of Education,Monterey,32,1,7,7,7,7,7,7.0
989,Millennium High Alternative,Piedmont City Unified,Alameda,21,5,7,7,7,7,7,7.0
990,Millikan High,Long Beach Unified,Los Angeles,824,71,24,23,23,23,50,70.42
991,Mills High,San Mateo Union High,San Mateo,299,82,27,27,28,27,72,87.8
992,Milpitas High,Milpitas Unified,Santa Clara,762,72,26,27,27,26,64,88.89
993,Minarets Charter High,Chawanakee Unified,Madera,71,17,22,20,20,21,9,52.94
994,Minarets High,Chawanakee Unified,Madera,36,14,7,7,7,7,7,7.0
995,Mira Costa High,Manhattan Beach Unified,Los Angeles,594,269,28,28,27,27,245,91.08
996,Mira Loma High,San Juan Unified,Sacramento,454,71,29,30,29,28,65,91.55
997,Mira Mesa High,San Diego Unified,San Diego,620,65,23,22,23,22,40,61.54
998,Mira Monte High,Kern High,Kern,563,13,7,7,7,7,7,7.0
999,Miramonte High,Acalanes Union High,Contra Costa,319,149,29,29,28,28,137,91.95
1000,Mirus Secondary,Hesperia Unified,San Bernardino,81,0,0,0,0,0,0,0.0
1001,Mission Bay High,San Diego Unified,San Diego,226,51,22,21,21,21,25,49.02
1002,Mission Early College High,Santa Clara Unified,Santa Clara,36,2,7,7,7,7,7,7.0
1003,Mission High,San Francisco Unified,San Francisco,324,98,17,15,17,16,16,16.33
1004,Mission Hills High,San Marcos Unified,San Diego,584,178,23,21,21,22,93,52.25
1005,Mission Oak High,Tulare Joint Union High,Tulare,368,18,21,21,21,21,6,33.33
1006,Mission San Jose High,Fremont Unified,Alameda,490,157,31,32,32,30,151,96.18
1007,Mission Viejo High,Saddleback Valley Unified,Orange,562,148,26,25,25,25,117,79.05
1008,Mission View Public,William S. Hart Union High,Los Angeles,50,0,0,0,0,0,0,0.0
1009,Mission Vista High,Vista Unified,San Diego,391,92,27,25,25,24,79,85.87
1010,MIT Academy,Vallejo City Unified,Solano,121,15,20,20,18,20,5,33.33
1011,Modesto High,Modesto City High,Stanislaus,585,163,20,19,20,19,61,37.42
1012,Modoc High,Modoc Joint Unified,Modoc,55,40,17,15,17,18,10,25.0
